TOPIC,SUBTOPIC,SUBTOPIC_ID,CLASSIFICATION,CLASSIFICATION_ID,GROUP,GROUP_ID,GROUP_ORDER,SUBGROUP,SUBGROUP_ID,SUBGROUP_ORDER,ESTIMATE_TYPE,ESTIMATE_TYPE_ID,TIME_PERIOD,TIME_PERIOD_ID,ESTIMATE,STANDARD_ERROR,ESTIMATE_UCI,ESTIMATE_LCI,FLAG,FOOTNOTE_ID_LIST
"High cholesterol, total, measured",,,Demographic Characteristic,1,Age group,1,1,30-39 years,3,3,"Percent of population, crude",0,2001-2002,2,12.5,1.2,15.4,10.1,,"FN_NHANESCHRONIC02,FN_NHANESCHRONIC04,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"High cholesterol, total, measured",,,Demographic Characteristic,1,Age group,1,1,30-39 years,3,3,"Percent of population, crude",0,2003-2004,3,14,1.3,17,11.4,,"FN_NHANESCHRONIC02,FN_NHANESCHRONIC04,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"High cholesterol, total, measured",,,Demographic Characteristic,1,Age group,1,1,30-39 years,3,3,"Percent of population, crude",0,2005-2006,4,15.3,2,20.1,11.3,,"FN_NHANESCHRONIC02,FN_NHANESCHRONIC04,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"High cholesterol, total, measured",,,Demographic Characteristic,1,Age group,1,1,30-39 years,3,3,"Percent of population, crude",0,2007-2008,5,11.2,1.4,14.6,8.3,,"FN_NHANESCHRONIC02,FN_NHANESCHRONIC04,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"High cholesterol, total, measured",,,Demographic Characteristic,1,Age group,1,1,30-39 years,3,3,"Percent of population, crude",0,2009-2010,6,11,1.1,13.5,8.8,,"FN_NHANESCHRONIC02,FN_NHANESCHRONIC04,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"High cholesterol, total, measured",,,Demographic Characteristic,1,Age group,1,1,30-39 years,3,3,"Percent of population, crude",0,2011-2012,7,9.8,0.9,11.9,7.9,,"FN_NHANESCHRONIC02,FN_NHANESCHRONIC04,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"High cholesterol, total, measured",,,Demographic Characteristic,1,Age group,1,1,30-39 years,3,3,"Percent of population, crude",0,2013-2014,8,11.5,1.3,14.6,8.8,,"FN_NHANESCHRONIC02,FN_NHANESCHRONIC04,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"High cholesterol, total, measured",,,Demographic Characteristic,1,Age group,1,1,30-39 years,3,3,"Percent of population, crude",0,2015-2016,9,10.8,1.3,13.8,8.2,,"FN_NHANESCHRONIC02,FN_NHANESCHRONIC04,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"High cholesterol, total, measured",,,Demographic Characteristic,1,Age group,1,1,30-39 years,3,3,"Percent of population, crude",0,2017-2018,10,7.8,1.4,11.4,5.1,,"FN_NHANESCHRONIC02,FN_NHANESCHRONIC04,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"High cholesterol, total, measured",,,Demographic Characteristic,1,Age group,1,1,40-49 years,4,4,"Percent of population, crude",0,1999-2000,1,23.1,2.7,29.5,17.6,,"FN_NHANESCHRONIC02,FN_NHANESCHRONIC04,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"High cholesterol, total, measured",,,Demographic Characteristic,1,Age group,1,1,40-49 years,4,4,"Percent of population, crude",0,2001-2002,2,17.3,1.8,21.4,13.7,,"FN_NHANESCHRONIC02,FN_NHANESCHRONIC04,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"High cholesterol, total, measured",,,Demographic Characteristic,1,Age group,1,1,40-49 years,4,4,"Percent of population, crude",0,2003-2004,3,20.4,1.4,23.6,17.5,,"FN_NHANESCHRONIC02,FN_NHANESCHRONIC04,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"High cholesterol, total, measured",,,Demographic Characteristic,1,Age group,1,1,40-49 years,4,4,"Percent of population, crude",0,2005-2006,4,16.3,1.8,20.7,12.6,,"FN_NHANESCHRONIC02,FN_NHANESCHRONIC04,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"High cholesterol, total, measured",,,Demographic Characteristic,1,Age group,1,1,40-49 years,4,4,"Percent of population, crude",0,2007-2008,5,17.4,1.5,20.9,14.4,,"FN_NHANESCHRONIC02,FN_NHANESCHRONIC04,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"High cholesterol, total, measured",,,Demographic Characteristic,1,Age group,1,1,40-49 years,4,4,"Percent of population, crude",0,2009-2010,6,15.8,1,18.2,13.7,,"FN_NHANESCHRONIC02,FN_NHANESCHRONIC04,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"High cholesterol, total, measured",,,Demographic Characteristic,1,Age group,1,1,40-49 years,4,4,"Percent of population, crude",0,2011-2012,7,13.3,1.7,17.3,9.9,,"FN_NHANESCHRONIC02,FN_NHANESCHRONIC04,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"High cholesterol, total, measured",,,Demographic Characteristic,1,Age group,1,1,40-49 years,4,4,"Percent of population, crude",0,2013-2014,8,15,0.8,17.5,12.8,,"FN_NHANESCHRONIC02,FN_NHANESCHRONIC04,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"High cholesterol, total, measured",,,Demographic Characteristic,1,Age group,1,1,40-49 years,4,4,"Percent of population, crude",0,2015-2016,9,13.3,2.1,18.5,9.1,,"FN_NHANESCHRONIC02,FN_NHANESCHRONIC04,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"High cholesterol, total, measured",,,Demographic Characteristic,1,Age group,1,1,40-49 years,4,4,"Percent of population, crude",0,2017-2018,10,8.5,1.8,13.3,5.1,,"FN_NHANESCHRONIC02,FN_NHANESCHRONIC04,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"High cholesterol, total, measured",,,Demographic Characteristic,1,Age group,1,1,50-59 years,5,5,"Percent of population, crude",0,1999-2000,1,22,2.5,28,16.8,,"FN_NHANESCHRONIC02,FN_NHANESCHRONIC04,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"High cholesterol, total, measured",,,Demographic Characteristic,1,Age group,1,1,50-59 years,5,5,"Percent of population, crude",0,2001-2002,2,24.7,1.9,28.9,20.8,,"FN_NHANESCHRONIC02,FN_NHANESCHRONIC04,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"High cholesterol, total, measured",,,Demographic Characteristic,1,Age group,1,1,50-59 years,5,5,"Percent of population, crude",0,2003-2004,3,22.5,2.6,28.5,17.2,,"FN_NHANESCHRONIC02,FN_NHANESCHRONIC04,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"High cholesterol, total, measured",,,Demographic Characteristic,1,Age group,1,1,50-59 years,5,5,"Percent of population, crude",0,2005-2006,4,22.3,2.2,27.4,17.7,,"FN_NHANESCHRONIC02,FN_NHANESCHRONIC04,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"High cholesterol, total, measured",,,Demographic Characteristic,1,Age group,1,1,50-59 years,5,5,"Percent of population, crude",0,2007-2008,5,20.8,2.1,25.7,16.5,,"FN_NHANESCHRONIC02,FN_NHANESCHRONIC04,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"High cholesterol, total, measured",,,Demographic Characteristic,1,Age group,1,1,50-59 years,5,5,"Percent of population, crude",0,2009-2010,6,20.1,1.7,24,16.5,,"FN_NHANESCHRONIC02,FN_NHANESCHRONIC04,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"High cholesterol, total, measured",,,Demographic Characteristic,1,Age group,1,1,50-59 years,5,5,"Percent of population, crude",0,2011-2012,7,23.1,2.4,28.6,18.2,,"FN_NHANESCHRONIC02,FN_NHANESCHRONIC04,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"High cholesterol, total, measured",,,Demographic Characteristic,1,Age group,1,1,50-59 years,5,5,"Percent of population, crude",0,2013-2014,8,12.6,1.8,17,9.1,,"FN_NHANESCHRONIC02,FN_NHANESCHRONIC04,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"High cholesterol, total, measured",,,Demographic Characteristic,1,Age group,1,1,50-59 years,5,5,"Percent of population, crude",0,2015-2016,9,20.7,1.4,23.9,17.8,,"FN_NHANESCHRONIC02,FN_NHANESCHRONIC04,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"High cholesterol, total, measured",,,Demographic Characteristic,1,Age group,1,1,50-59 years,5,5,"Percent of population, crude",0,2017-2018,10,19,2.1,23.9,14.8,,"FN_NHANESCHRONIC02,FN_NHANESCHRONIC04,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"High cholesterol, total, measured",,,Demographic Characteristic,1,Age group,1,1,60-69 years,6,6,"Percent of population, crude",0,1999-2000,1,23.9,1.7,27.7,20.4,,"FN_NHANESCHRONIC02,FN_NHANESCHRONIC04,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"High cholesterol, total, measured",,,Demographic Characteristic,1,Age group,1,1,60-69 years,6,6,"Percent of population, crude",0,2001-2002,2,23,1.4,26.5,19.8,,"FN_NHANESCHRONIC02,FN_NHANESCHRONIC04,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"High cholesterol, total, measured",,,Demographic Characteristic,1,Age group,1,1,60-69 years,6,6,"Percent of population, crude",0,2003-2004,3,23.7,1.8,27.7,20.1,,"FN_NHANESCHRONIC02,FN_NHANESCHRONIC04,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"High cholesterol, total, measured",,,Demographic Characteristic,1,Age group,1,1,60-69 years,6,6,"Percent of population, crude",0,2005-2006,4,20,2.3,25.4,15.3,,"FN_NHANESCHRONIC02,FN_NHANESCHRONIC04,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"High cholesterol, total, measured",,,Demographic Characteristic,1,Age group,1,1,60-69 years,6,6,"Percent of population, crude",0,2007-2008,5,15.9,1.9,20.3,12.1,,"FN_NHANESCHRONIC02,FN_NHANESCHRONIC04,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"High cholesterol, total, measured",,,Demographic Characteristic,1,Age group,1,1,60-69 years,6,6,"Percent of population, crude",0,2009-2010,6,18.1,1.8,22.3,14.4,,"FN_NHANESCHRONIC02,FN_NHANESCHRONIC04,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"High cholesterol, total, measured",,,Demographic Characteristic,1,Age group,1,1,60-69 years,6,6,"Percent of population, crude",0,2011-2012,7,15.7,2,20.3,11.7,,"FN_NHANESCHRONIC02,FN_NHANESCHRONIC04,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"High cholesterol, total, measured",,,Demographic Characteristic,1,Age group,1,1,60-69 years,6,6,"Percent of population, crude",0,2013-2014,8,12.7,1.6,16.6,9.4,,"FN_NHANESCHRONIC02,FN_NHANESCHRONIC04,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"High cholesterol, total, measured",,,Demographic Characteristic,1,Age group,1,1,60-69 years,6,6,"Percent of population, crude",0,2015-2016,9,14.2,1.5,17.9,11,,"FN_NHANESCHRONIC02,FN_NHANESCHRONIC04,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"High cholesterol, total, measured",,,Demographic Characteristic,1,Age group,1,1,60-69 years,6,6,"Percent of population, crude",0,2017-2018,10,11,1.7,15.3,7.6,,"FN_NHANESCHRONIC02,FN_NHANESCHRONIC04,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"High cholesterol, total, measured",,,Demographic Characteristic,1,Age group,1,1,70 years and older,7,7,"Percent of population, crude",0,1999-2000,1,23.7,1.1,26.8,20.7,,"FN_NHANESCHRONIC02,FN_NHANESCHRONIC04,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"High cholesterol, total, measured",,,Demographic Characteristic,1,Age group,1,1,70 years and older,7,7,"Percent of population, crude",0,2001-2002,2,18.9,1.7,22.8,15.4,,"FN_NHANESCHRONIC02,FN_NHANESCHRONIC04,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"High cholesterol, total, measured",,,Demographic Characteristic,1,Age group,1,1,70 years and older,7,7,"Percent of population, crude",0,2003-2004,3,16.2,0.8,18.7,13.9,,"FN_NHANESCHRONIC02,FN_NHANESCHRONIC04,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"High cholesterol, total, measured",,,Demographic Characteristic,1,Age group,1,1,70 years and older,7,7,"Percent of population, crude",0,2005-2006,4,14.5,2,19.3,10.5,,"FN_NHANESCHRONIC02,FN_NHANESCHRONIC04,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"High cholesterol, total, measured",,,Demographic Characteristic,1,Age group,1,1,70 years and older,7,7,"Percent of population, crude",0,2007-2008,5,16.3,1.6,20,13,,"FN_NHANESCHRONIC02,FN_NHANESCHRONIC04,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"High cholesterol, total, measured",,,Demographic Characteristic,1,Age group,1,1,70 years and older,7,7,"Percent of population, crude",0,2009-2010,6,12.8,1.2,15.5,10.4,,"FN_NHANESCHRONIC02,FN_NHANESCHRONIC04,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"High cholesterol, total, measured",,,Demographic Characteristic,1,Age group,1,1,70 years and older,7,7,"Percent of population, crude",0,2011-2012,7,11.3,1.8,15.9,7.7,,"FN_NHANESCHRONIC02,FN_NHANESCHRONIC04,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"High cholesterol, total, measured",,,Demographic Characteristic,1,Age group,1,1,70 years and older,7,7,"Percent of population, crude",0,2013-2014,8,11.8,1.1,14.3,9.6,,"FN_NHANESCHRONIC02,FN_NHANESCHRONIC04,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"High cholesterol, total, measured",,,Demographic Characteristic,1,Age group,1,1,70 years and older,7,7,"Percent of population, crude",0,2015-2016,9,10.5,1.4,13.9,7.6,,"FN_NHANESCHRONIC02,FN_NHANESCHRONIC04,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"High cholesterol, total, measured",,,Demographic Characteristic,1,Age group,1,1,70 years and older,7,7,"Percent of population, crude",0,2017-2018,10,9.5,1,12,7.5,,"FN_NHANESCHRONIC02,FN_NHANESCHRONIC04,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"High cholesterol, total, measured",,,Demographic Characteristic,1,Race and Hispanic origin,2,2,"All races, Hispanic",8,8,"Percent of population, crude",0,1999-2000,1,,,,,- - -,"FN_NHANESCHRONIC02,FN_NHANESCHRONIC04,FN_NHANESCHRONIC17,NA_NHANES07,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"High cholesterol, total, measured",,,Demographic Characteristic,1,Race and Hispanic origin,2,2,"All races, Hispanic",8,8,"Percent of population, crude",0,2001-2002,2,,,,,- - -,"FN_NHANESCHRONIC02,FN_NHANESCHRONIC04,FN_NHANESCHRONIC17,NA_NHANES07,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"High cholesterol, total, measured",,,Demographic Characteristic,1,Race and Hispanic origin,2,2,"All races, Hispanic",8,8,"Percent of population, crude",0,2003-2004,3,,,,,- - -,"FN_NHANESCHRONIC02,FN_NHANESCHRONIC04,FN_NHANESCHRONIC17,NA_NHANES07,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"High cholesterol, total, measured",,,Demographic Characteristic,1,Race and Hispanic origin,2,2,"All races, Hispanic",8,8,"Percent of population, crude",0,2005-2006,4,,,,,- - -,"FN_NHANESCHRONIC02,FN_NHANESCHRONIC04,FN_NHANESCHRONIC17,NA_NHANES07,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"High cholesterol, total, measured",,,Demographic Characteristic,1,Race and Hispanic origin,2,2,"All races, Hispanic",8,8,"Percent of population, crude",0,2007-2008,5,13.2,1,15.6,11.1,,"FN_NHANESCHRONIC02,FN_NHANESCHRONIC04,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"High cholesterol, total, measured",,,Demographic Characteristic,1,Race and Hispanic origin,2,2,"All races, Hispanic",8,8,"Percent of population, crude",0,2009-2010,6,13.7,0.7,15.5,12.1,,"FN_NHANESCHRONIC02,FN_NHANESCHRONIC04,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"High cholesterol, total, measured",,,Demographic Characteristic,1,Race and Hispanic origin,2,2,"All races, Hispanic",8,8,"Percent of population, crude",0,2011-2012,7,12.7,3.2,16.5,9.6,,"FN_NHANESCHRONIC02,FN_NHANESCHRONIC04,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"High cholesterol, total, measured",,,Demographic Characteristic,1,Race and Hispanic origin,2,2,"All races, Hispanic",8,8,"Percent of population, crude",0,2013-2014,8,11.6,2.1,14,9.5,,"FN_NHANESCHRONIC02,FN_NHANESCHRONIC04,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"High cholesterol, total, measured",,,Demographic Characteristic,1,Race and Hispanic origin,2,2,"All races, Hispanic",8,8,"Percent of population, crude",0,2015-2016,9,10.9,1.8,12.9,9.1,,"FN_NHANESCHRONIC02,FN_NHANESCHRONIC04,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"High cholesterol, total, measured",,,Demographic Characteristic,1,Race and Hispanic origin,2,2,"All races, Hispanic",8,8,"Percent of population, crude",0,2017-2018,10,10.4,3,14.1,7.4,,"FN_NHANESCHRONIC02,FN_NHANESCHRONIC04,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"High cholesterol, total, measured",,,Demographic Characteristic,1,Race and Hispanic origin,2,2,"All races, Hispanic, Mexican",9,9,"Percent of population, crude",0,1999-2000,1,13.1,1.3,16.1,10.5,,"FN_NHANESCHRONIC02,FN_NHANESCHRONIC04,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"High cholesterol, total, measured",,,Demographic Characteristic,1,Race and Hispanic origin,2,2,"All races, Hispanic, Mexican",9,9,"Percent of population, crude",0,2001-2002,2,12.5,1.2,15.5,9.9,,"FN_NHANESCHRONIC02,FN_NHANESCHRONIC04,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"High cholesterol, total, measured",,,Demographic Characteristic,1,Race and Hispanic origin,2,2,"All races, Hispanic, Mexican",9,9,"Percent of population, crude",0,2003-2004,3,13.5,0.9,15.9,11.4,,"FN_NHANESCHRONIC02,FN_NHANESCHRONIC04,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"High cholesterol, total, measured",,,Demographic Characteristic,1,Race and Hispanic origin,2,2,"All races, Hispanic, Mexican",9,9,"Percent of population, crude",0,2005-2006,4,14.9,1.4,18.3,11.9,,"FN_NHANESCHRONIC02,FN_NHANESCHRONIC04,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"High cholesterol, total, measured",,,Demographic Characteristic,1,Race and Hispanic origin,2,2,"All races, Hispanic, Mexican",9,9,"Percent of population, crude",0,2007-2008,5,13.9,1.3,16.9,11.2,,"FN_NHANESCHRONIC02,FN_NHANESCHRONIC04,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"High cholesterol, total, measured",,,Demographic Characteristic,1,Race and Hispanic origin,2,2,"All races, Hispanic, Mexican",9,9,"Percent of population, crude",0,2009-2010,6,13.3,0.9,15.6,11.3,,"FN_NHANESCHRONIC02,FN_NHANESCHRONIC04,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"High cholesterol, total, measured",,,Demographic Characteristic,1,Race and Hispanic origin,2,2,"All races, Hispanic, Mexican",9,9,"Percent of population, crude",0,2011-2012,7,10.5,1.8,15,7.1,,"FN_NHANESCHRONIC02,FN_NHANESCHRONIC04,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"High cholesterol, total, measured",,,Demographic Characteristic,1,Race and Hispanic origin,2,2,"All races, Hispanic, Mexican",9,9,"Percent of population, crude",0,2013-2014,8,10.7,1.3,13.8,8,,"FN_NHANESCHRONIC02,FN_NHANESCHRONIC04,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"High cholesterol, total, measured",,,Demographic Characteristic,1,Race and Hispanic origin,2,2,"All races, Hispanic, Mexican",9,9,"Percent of population, crude",0,2015-2016,9,11.5,1.2,14.3,9.1,,"FN_NHANESCHRONIC02,FN_NHANESCHRONIC04,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"High cholesterol, total, measured",,,Demographic Characteristic,1,Race and Hispanic origin,2,2,"All races, Hispanic, Mexican",9,9,"Percent of population, crude",0,2017-2018,10,12,1.9,17,8.1,,"FN_NHANESCHRONIC02,FN_NHANESCHRONIC04,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"High cholesterol, total, measured",,,Demographic Characteristic,1,Race and Hispanic origin,2,2,"Asian only, non-Hispanic",10,10,"Percent of population, crude",0,1999-2000,1,,,,,- - -,"FN_NHANESCHRONIC02,FN_NHANESCHRONIC04,FN_NHANESCHRONIC17,NA_NHANES07,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"High cholesterol, total, measured",,,Demographic Characteristic,1,Race and Hispanic origin,2,2,"Asian only, non-Hispanic",10,10,"Percent of population, crude",0,2001-2002,2,,,,,- - -,"FN_NHANESCHRONIC02,FN_NHANESCHRONIC04,FN_NHANESCHRONIC17,NA_NHANES07,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"High cholesterol, total, measured",,,Demographic Characteristic,1,Race and Hispanic origin,2,2,"Asian only, non-Hispanic",10,10,"Percent of population, crude",0,2003-2004,3,,,,,- - -,"FN_NHANESCHRONIC02,FN_NHANESCHRONIC04,FN_NHANESCHRONIC17,NA_NHANES07,NT_NHANES00,SC_NHANES03,SC_NHANES04"
"High cholesterol, total, measured",,,Demographic Characteristic,1,Race and Hispanic origin,2,2,"Asian only, non-Hispanic",10,10,"Percent of population, crude",0,2005-2006,4,,,,,- - -,"FN_NHANESCHRONIC02,FN_NHANESCHRONIC04,FN_NHANESCHRONIC17,NA_NHANES07,NT_NHANES00,SC_NHANES03,SC_NHANES04"
